Expiry,callHedge,putHedge,netHedge,Price
2020-02-15,1294110.5550796513,-4164966.588251914,-2870856.03317226,670.0
2020-02-22,5193360.827076118,-2480741.539653268,2712619.28742285,670.0
2020-02-29,1070410.6556731567,-866229.2135679694,204181.44210518707,670.0
2020-03-07,273182.0053985871,-443159.9601325203,-169977.95473393303,670.0
2020-03-14,84191.27115767554,-200516.89118078933,-116325.62002311385,670.0
2020-03-21,7814465.9015850695,-2027064.2059089507,5787401.695676124,670.0
2020-03-28,38140.3287019668,-26114.754115879943,12025.574586086874,670.0
2020-04-18,1405191.1552943403,-696454.3781822278,708736.7771121119,670.0
2020-05-16,1918217.558343509,-810780.3731705761,1107437.185172932,670.0
2020-06-16,0.0,-27.994355331493676,-27.994355331493676,670.0
2020-06-20,4890478.254528443,-1761682.9694729308,3128795.2850555163,670.0
2020-07-18,692025.4651663561,-346987.1718933067,345038.29327304935,670.0
2020-08-22,381993.04700092506,-252114.75443554885,129878.29256537613,670.0
2020-09-19,1083348.0514265934,-474027.4586642665,609320.5927623272,670.0
2020-10-17,372286.6228053503,-276189.93635291036,96096.68645243968,670.0
2021-01-16,8938654.828207036,-2168452.3517206577,6770202.476486383,670.0
2021-03-20,819592.6681982881,-201893.63363528732,617699.034563001,670.0
2021-06-19,2342142.60546241,-274965.3586742431,2067177.2467881658,670.0
2021-09-18,308565.68567009206,-38403.766970857236,270161.9186992349,670.0
2022-01-19,7748.867391588921,-1702.115608598301,6046.75178299062,670.0
2022-01-22,2877180.95048026,-465385.04809735384,2411795.902382906,670.0
2022-03-19,16580.48648351577,-20601.07399177701,-4020.587508261243,670.0
2022-06-18,2032467.7195417592,-315795.1219255511,1716672.5976162087,670.0
2020-02-15,2018186.2592313637,-2696756.349983339,-678570.0907519755,720.0
2020-02-22,6053006.4992455635,-1753590.2348324328,4299416.264413126,720.0
2020-02-29,1224273.4974901231,-641434.2223446101,582839.2751455135,720.0
2020-03-07,350343.6458149325,-341712.14136407716,8631.504450855165,720.0
2020-03-14,111803.34761152699,-160126.2711729275,-48322.923561400516,720.0
2020-03-21,8312418.97684573,-1550332.0975864956,6762086.879259238,720.0
2020-03-28,48588.32599813556,-20688.403384434292,27899.92261370125,720.0
2020-04-18,1565590.2003642828,-567712.5029483555,997877.6974159265,720.0
2020-05-16,2096163.0076677646,-672048.8632601704,1424114.1444075927,720.0
2020-06-16,0.0,-19.325080949919034,-19.325080949919034,720.0
2020-06-20,5165897.810766187,-1504118.706433024,3661779.104333161,720.0
2020-07-18,754684.2760921398,-297180.6377770838,457503.63831505616,720.0
2020-08-22,414051.2596061329,-220168.91145427848,193882.34815185433,720.0
2020-09-19,1137017.9134491477,-415809.19686522713,721208.7165839197,720.0
2020-10-17,399794.85719798174,-249357.44816388123,150437.40903410068,720.0
2021-01-16,9201456.518973138,-1909659.7001712362,7291796.818801908,720.0
2021-03-20,848766.8865267597,-181412.15829753166,667354.7282292284,720.0
2021-06-19,2396469.618581516,-248606.33879081,2147863.279790705,720.0
2021-09-18,315257.546482693,-35276.641224009974,279980.9052586831,720.0
2022-01-19,7926.131582532857,-1553.3577258973096,6372.773856635547,720.0
